# band 5 — format: w|p|t|ka|ex|e
sneeze|v|health|ცემინება|Pepper makes me sneeze.|
stare|v|actions|მიშტერება|Don't stare at people, it is rude.|
stir|v|food|მორევა|Stir the soup slowly.|
submit|v|work|წარდგენა|Please submit your application by Friday.|
supply|v|work|მიწოდება|This farm will supply the restaurant with vegetables.|
sweep|v|home|დაგვა|Can you sweep the floor?|🧹
scream|v|communication|კივილი|The children scream on the roller coaster.|
hike|v|sport|ლაშქრობა|We hike in the mountains every summer.|
ski|v|sport|თხილამურებით სრიალი|We go to Gudauri to ski in winter.|⛷️
dive|v|sport|ყვინთვა|Can you dive into the water from here?|
announce|v|communication|გამოცხადება|They will announce the winner tonight.|
congratulate|v|communication|მილოცვა|I want to congratulate you on your new job.|
respond|v|communication|პასუხის გაცემა|Please respond to my message.|
whistle|v|communication|სტვენა|He can whistle a song.|
spill|v|home|დაღვრა|Be careful not to spill your coffee.|
scratch|v|animals|ფხაჭნა|My cat likes to scratch the sofa.|
economic|adj|money|ეკონომიკური|The country has economic problems.|
giant|adj|qualities|გიგანტური|There is a giant tree in the park.|
weekly|adj|time|ყოველკვირეული|We have a weekly meeting on Monday.|
immediate|adj|time|დაუყოვნებელი|We need an immediate answer.|
brief|adj|time|ხანმოკლე|We had a brief meeting.|
naughty|adj|qualities|ცელქი|Don't be naughty, sit down!|
satisfied|adj|feelings|კმაყოფილი|Are you satisfied with the service?|
delighted|adj|feelings|აღფრთოვანებული|I was delighted to hear the news.|
impressed|adj|feelings|მოხიბლული|I was impressed by her English.|
annoyed|adj|feelings|გაღიზიანებული|I was annoyed by the noise.|
foggy|adj|weather|ნისლიანი|It is foggy this morning.|
snowy|adj|weather|თოვლიანი|It was a snowy winter.|
smooth|adj|qualities|გლუვი|Her skin is soft and smooth.|
rough|adj|qualities|ხორკლიანი|This old towel is rough.|
shiny|adj|qualities|პრიალა|She has a shiny new car.|
blind|adj|health|უსინათლო|My grandfather is almost blind.|
deaf|adj|health|ყრუ|My grandmother is a little deaf.|
incredible|adj|qualities|დაუჯერებელი|The view from the mountain is incredible.|
ideal|adj|qualities|იდეალური|This is the ideal place for a picnic.|
stressed|adj|feelings|სტრესში მყოფი|She is stressed about work.|
wooden|adj|home|ხის|They live in a small wooden house.|
aware|adj|feelings|გაცნობიერებული|Are you aware of the problem?|
capable|adj|qualities|უნარიანი|She is capable of doing this job.|
suitable|adj|qualities|შესაფერისი|This film is not suitable for children.|
tough|adj|qualities|მძიმე|It was a tough day at work.|
tight|adj|clothes|მჭიდრო|These shoes are too tight.|
loose|adj|clothes|განიერი|These trousers are too loose.|
crowded|adj|city|ხალხმრავალი|The bus is always crowded in the morning.|
peaceful|adj|qualities|მშვიდობიანი|They had a peaceful life in the village.|
silent|adj|qualities|ჩუმი|The room was completely silent.|
unlucky|adj|feelings|უიღბლო|I was unlucky and missed the bus.|
successful|adj|work|წარმატებული|She is a successful businesswoman.|
equal|adj|society|თანაბარი|Men and women should get equal pay.|
opposite|adj|places|საპირისპირო|We went in opposite directions.|
unknown|adj|qualities|უცნობი|The singer was unknown ten years ago.|
familiar|adj|qualities|ნაცნობი|Your face looks familiar.|
weird|adj|qualities|უცნაური|That's a weird idea.|
surprising|adj|feelings|გასაკვირი|The results were surprising.|
shocking|adj|feelings|შოკისმომგვრელი|The news was shocking.|
disgusting|adj|qualities|ამაზრზენი|This coffee tastes disgusting.|
annoying|adj|feelings|გამაღიზიანებელი|That noise is really annoying.|
relaxing|adj|feelings|დამამშვიდებელი|A hot bath is very relaxing.|
tiring|adj|feelings|დამღლელი|It was a long and tiring day.|
risky|adj|qualities|სარისკო|It is risky to drive in this weather.|
flexible|adj|work|მოქნილი|I have flexible working hours.|
sensible|adj|qualities|გონივრული|That is a sensible decision.|
