# band 1 — format: w|p|t|ka|ex|e
bring|v|actions|მოტანა|Please bring your passport.|
write|v|communication|წერა|I write a lot of emails at work.|
read|v|school|კითხვა|I like to read before bed.|
sit|v|actions|დაჯდომა|Can I sit next to you?|
stand|v|actions|დგომა|We had to stand on the bus.|
pay|v|money|გადახდა|Can I pay by card?|
meet|v|people|შეხვედრა|Nice to meet you.|
eat|v|food|ჭამა|What do you want to eat?|
drink|v|food|დალევა|I drink a lot of water.|
sleep|v|home|ძილი|I can't sleep when it is hot.|
buy|v|shopping|ყიდვა|I need to buy some milk.|
open|v|actions|გაღება|Can you open the window?|
close|v|actions|დახურვა|Please close the door.|
wait|v|actions|ლოდინი|Wait for me here.|
stop|v|actions|გაჩერება|The bus doesn't stop here.|
walk|v|actions|სიარული|I walk to work every day.|
learn|v|school|სწავლა|I want to learn English.|
understand|v|communication|გაგება|I don't understand this word.|
love|v|feelings|სიყვარული|I love my family.|
watch|v|actions|ყურება|We watch TV in the evening.|
listen|v|actions|მოსმენა|I listen to music in the car.|
put|v|actions|დადება|Put your bag on the chair.|
leave|v|actions|დატოვება|Don't leave your bag here.|
let|v|actions|ნების მიცემა|Let me carry that for you.|
time|n|time|დრო|What time is it?|
year|n|time|წელი|I started this job last year.|
day|n|time|დღე|Have a nice day!|
week|n|time|კვირა|I go to the gym twice a week.|
month|n|time|თვე|My sister visits us once a month.|
hour|n|time|საათი|I waited for an hour.|
minute|n|time|წუთი|Wait a minute, please.|
morning|n|time|დილა|I drink coffee in the morning.|🌅
night|n|time|ღამე|I work at night.|🌙
evening|n|time|საღამო|We usually eat at home in the evening.|
man|n|people|კაცი|A man is waiting for you outside.|👨
woman|n|people|ქალი|That woman is my teacher.|👩
child|n|people|ბავშვი|Every child needs love.|🧒
boy|n|people|ბიჭი|The boy is playing football.|👦
girl|n|people|გოგონა|The little girl has a red bag.|👧
baby|n|family|ჩვილი|The baby is sleeping.|👶
people|n|people|ხალხი|Many people live in the city.|👥
person|n|people|ადამიანი|She is a very kind person.|🧑
friend|n|people|მეგობარი|He is my best friend.|
family|n|family|ოჯახი|I have a big family.|👪
mother|n|family|დედა|My mother is a teacher.|
father|n|family|მამა|My father works in a bank.|
brother|n|family|ძმა|My brother is older than me.|
sister|n|family|და|My sister lives in Batumi.|
son|n|family|ვაჟიშვილი|Their son is five years old.|
daughter|n|family|ქალიშვილი|Their daughter is a nurse.|
wife|n|family|ცოლი|This is my wife, Nino.|
husband|n|family|ქმარი|Her husband is a good cook.|
name|n|people|სახელი|My name is Giorgi.|
house|n|home|სახლი|They live in a big house.|🏠
room|n|home|ოთახი|My room is on the second floor.|
door|n|home|კარი|Someone is at the door.|🚪
window|n|home|ფანჯარა|The window is open.|
table|n|home|მაგიდა|The keys are on the table.|
chair|n|home|სკამი|This chair is very comfortable.|🪑
bed|n|home|საწოლი|I go to bed at eleven.|🛏️
kitchen|n|home|სამზარეულო|We eat in the kitchen.|
water|n|food|წყალი|Can I have a glass of water?|💧
food|n|food|საჭმელი|The food here is very good.|
bread|n|food|პური|I buy fresh bread every morning.|🍞
milk|n|food|რძე|We need milk and eggs.|🥛
tea|n|food|ჩაი|Do you take sugar in your tea?|🍵
coffee|n|food|ყავა|Would you like a coffee?|☕
apple|n|food|ვაშლი|She eats an apple every day.|🍎
egg|n|food|კვერცხი|I had an egg for breakfast.|🥚
meat|n|food|ხორცი|I don't eat meat.|🥩
fish|n|food|თევზი|We had fish for dinner.|🐟
breakfast|n|food|საუზმე|Breakfast is on the table.|🍳
lunch|n|food|სადილი|Let's have lunch together.|
dinner|n|food|ვახშამი|What would you like for dinner?|
car|n|transport|მანქანა|My car is outside.|🚗
bus|n|transport|ავტობუსი|The bus is late again.|🚌
train|n|transport|მატარებელი|The train leaves at nine.|🚆
street|n|city|ქუჩა|I live on this street.|
road|n|city|გზა|Be careful on the road.|🛣️
city|n|city|ქალაქი|Tbilisi is a beautiful city.|🏙️
country|n|places|ქვეყანა|Georgia is a small country.|
school|n|school|სკოლა|My son goes to school.|🏫
teacher|n|school|მასწავლებელი|Our teacher is very kind.|
student|n|school|სტუდენტი|She is a student at the university.|
book|n|school|წიგნი|I am reading a good book.|📖
money|n|money|ფული|I don't have any money.|💰
job|n|work|სამსახური|I have a new job.|
shop|n|shopping|მაღაზია|The shop closes at ten.|🏪
phone|n|technology|ტელეფონი|My phone is on the table.|📱
hand|n|body|ხელი|Give me your hand.|✋
head|n|body|თავი|My head hurts today.|
eye|n|body|თვალი|I have something in my eye.|👁️
face|n|body|სახე|Wash your face with cold water.|
hair|n|body|თმა|She has long black hair.|
leg|n|body|ფეხი|My leg hurts after the run.|🦵
dog|n|animals|ძაღლი|We have a big dog.|🐕
cat|n|animals|კატა|The cat is sleeping on the sofa.|🐈
sun|n|weather|მზე|The sun is very strong today.|☀️
rain|n|weather|წვიმა|The rain stopped at noon.|🌧️
tree|n|nature|ხე|There is a big tree in our garden.|🌳
place|n|places|ადგილი|This is a nice place for lunch.|
thing|n|abstract|ნივთი|What is this thing?|
way|n|abstract|გზა|Is this the way to the station?|
word|n|school|სიტყვა|What does this word mean?|
question|n|school|კითხვა|I have a question for you.|❓
answer|n|school|პასუხი|I know the answer.|
doctor|n|health|ექიმი|The doctor will see you now.|
life|n|abstract|ცხოვრება|Life in the city is expensive.|
world|n|places|მსოფლიო|I want to travel around the world.|🌍
weather|n|weather|ამინდი|The weather is nice today.|
problem|n|abstract|პრობლემა|We have a small problem.|
idea|n|abstract|იდეა|That's a great idea!|
number|n|numbers|ნომერი|What is your room number?|
hospital|n|health|საავადმყოფო|My aunt works in a hospital.|🏥
bank|n|money|ბანკი|The bank opens at ten.|🏦
hotel|n|travel|სასტუმრო|Our hotel is near the sea.|🏨
good|adj|qualities|კარგი|This is a good restaurant.|
bad|adj|qualities|ცუდი|I have bad news.|
big|adj|qualities|დიდი|They have a big garden.|
small|adj|qualities|პატარა|I live in a small flat.|
new|adj|qualities|ახალი|I need new shoes.|
old|adj|qualities|ძველი|This is a very old church.|
young|adj|qualities|ახალგაზრდა|My parents are still young.|
long|adj|qualities|გრძელი|It was a long day.|
short|adj|qualities|მოკლე|She has short hair.|
hot|adj|weather|ცხელი|Be careful, the soup is hot.|
cold|adj|weather|ცივი|The water is very cold.|
happy|adj|feelings|ბედნიერი|I am so happy for you!|😊
sad|adj|feelings|მოწყენილი|Why are you sad?|😢
beautiful|adj|qualities|ლამაზი|What a beautiful view!|
nice|adj|qualities|სასიამოვნო|It was nice to see you.|
easy|adj|qualities|ადვილი|This exercise is easy.|
difficult|adj|qualities|რთული|English grammar is difficult.|
great|adj|qualities|შესანიშნავი|We had a great time.|
different|adj|qualities|განსხვავებული|We have different ideas.|
same|adj|qualities|იგივე|We were born in the same year.|
important|adj|qualities|მნიშვნელოვანი|This is a very important meeting.|
right|adj|qualities|მარჯვენა|I write with my right hand.|
left|adj|qualities|მარცხენა|The bank is on the left side of the street.|
next|adj|time|შემდეგი|The next bus is at ten.|
last|adj|time|ბოლო|This is the last train tonight.|
tired|adj|feelings|დაღლილი|I am very tired today.|
hungry|adj|feelings|მშიერი|Are you hungry? Dinner is ready.|
cheap|adj|shopping|იაფი|This hotel is cheap but nice.|
expensive|adj|shopping|ძვირი|This watch is very expensive.|
clean|adj|home|სუფთა|The room is clean and quiet.|
red|adj|colours|წითელი|She has a red car.|🔴
blue|adj|colours|ლურჯი|The sky is blue today.|🔵
green|adj|colours|მწვანე|I like green tea.|🟢
black|adj|colours|შავი|He wears a black jacket.|⚫
white|adj|colours|თეთრი|I need a white shirt.|⚪
yellow|adj|colours|ყვითელი|She wore a yellow dress.|🟡
